session_id,user_id,workflow_type,task_id,duration_s,app_switches_per_min,backtrack_rate,repeated_action_ratio,correction_rate,hesitation_ms_p50,idle_ratio,navigation_efficiency,action_sequence_entropy,workflow_repeat_count,predictable_sequence_score,completion_success,friction_score,focus_score,automation_potential,model_confidence,behavior_label,data_origin
syn_00001,bootstrap_user_01,coding_debugging,coding_debugging_001,1575.4,1.52,0.0,0.0633,0.4422,675.7,0.0625,0.7907,0.8465,3,0.3789,False,0.3277,0.7649,0.3388,0.6306,moderate_friction,synthetic_bootstrap
syn_00002,bootstrap_user_02,support_lookup,support_lookup_002,332.6,5.703,0.0864,0.7181,0.0953,80.0,0.0,0.5582,0.4184,7,0.8084,True,0.2451,0.6908,0.6273,0.8794,focused_or_low_friction,synthetic_bootstrap
syn_00003,bootstrap_user_03,research_browsing,research_browsing_003,981.9,3.031,0.076,0.2928,0.0659,1096.9,0.1084,0.7034,0.7957,2,0.2299,True,0.3134,0.6146,0.3313,0.577,moderate_friction,synthetic_bootstrap
syn_00004,bootstrap_user_04,coding_debugging,coding_debugging_004,825.5,4.27,0.2701,0.3945,0.2804,847.4,0.0339,0.5608,0.7411,5,0.4511,True,0.386,0.6622,0.4709,0.7063,moderate_friction,synthetic_bootstrap
syn_00005,bootstrap_user_05,deep_work,deep_work_005,2995.1,0.582,0.0417,0.0532,0.2066,597.5,0.0666,0.9199,0.7488,3,0.1643,True,0.2257,0.7485,0.2893,0.5887,focused_or_low_friction,synthetic_bootstrap
syn_00006,bootstrap_user_06,research_browsing,research_browsing_006,1214.8,3.814,0.4324,0.1517,0.0789,676.1,0.1594,0.512,0.7495,3,0.3454,True,0.3857,0.4516,0.3212,0.6339,moderate_friction,synthetic_bootstrap
syn_00007,bootstrap_user_07,coding_debugging,coding_debugging_007,1775.6,2.562,0.1962,0.223,0.3013,971.3,0.0321,0.5175,0.7473,2,0.5001,True,0.4338,0.6997,0.4018,0.6503,moderate_friction,synthetic_bootstrap
syn_00008,bootstrap_user_08,coding_debugging,coding_debugging_008,1162.6,2.114,0.1882,0.2328,0.426,749.1,0.0555,0.5559,0.7401,2,0.4879,True,0.387,0.7048,0.4179,0.6482,moderate_friction,synthetic_bootstrap
syn_00009,bootstrap_user_09,deep_work,deep_work_009,1332.9,0.393,0.0762,0.1139,0.0331,370.5,0.061,0.7663,0.6484,3,0.3739,True,0.1436,0.7764,0.3199,0.6532,focused_or_low_friction,synthetic_bootstrap
syn_00010,bootstrap_user_10,support_lookup,support_lookup_010,285.6,4.822,0.3461,0.5101,0.153,557.4,0.0129,0.7371,0.4994,4,0.7891,True,0.293,0.7155,0.4882,0.7973,focused_or_low_friction,synthetic_bootstrap
syn_00011,bootstrap_user_11,repetitive_admin,repetitive_admin_011,253.7,3.429,0.0887,0.6635,0.1096,229.0,0.0228,0.7539,0.3769,13,0.8068,True,0.1479,0.8094,0.6224,0.9065,focused_or_low_friction,synthetic_bootstrap
syn_00012,bootstrap_user_12,research_browsing,research_browsing_012,2014.2,2.278,0.4012,0.2273,0.0492,535.1,0.1491,0.7063,0.7943,2,0.391,True,0.3383,0.5602,0.3509,0.6174,moderate_friction,synthetic_bootstrap
syn_00013,bootstrap_user_01,coding_debugging,coding_debugging_013,1647.0,3.654,0.3657,0.2687,0.3749,606.6,0.0923,0.5193,0.5951,3,0.446,True,0.461,0.5986,0.4456,0.6776,high_friction,synthetic_bootstrap
syn_00014,bootstrap_user_02,research_browsing,research_browsing_014,1328.7,3.454,0.1546,0.2096,0.1334,502.7,0.1126,0.5052,0.7579,1,0.4519,True,0.3432,0.6153,0.354,0.6145,moderate_friction,synthetic_bootstrap
syn_00015,bootstrap_user_03,support_lookup,support_lookup_015,563.2,4.027,0.2004,0.5683,0.1286,670.4,0.0566,0.8377,0.3863,7,0.6991,True,0.3295,0.7129,0.5599,0.8559,moderate_friction,synthetic_bootstrap
syn_00016,bootstrap_user_04,repetitive_admin,repetitive_admin_016,820.8,2.937,0.0326,0.6362,0.0779,451.1,0.0666,0.8009,0.2155,9,0.7899,True,0.2287,0.759,0.7098,0.9216,automation_candidate,synthetic_bootstrap
syn_00017,bootstrap_user_05,support_lookup,support_lookup_017,328.9,5.472,0.1831,0.721,0.0219,675.4,0.0653,0.7227,0.4018,4,0.6402,True,0.3369,0.6695,0.4983,0.7718,moderate_friction,synthetic_bootstrap
